customer_id,name,email,country,created_at
C0001,Customer_1,customer_1@supplyco.com,China,2023-01-22
C0002,Customer_2,customer_2@example.com,USA,2023-09-15
C0003,Customer_3,customer_3@supplyco.com,France,2022-06-10
C0004,Customer_4,customer_4@supplyco.com,USA,2024-02-18
C0005,Customer_5,customer_5@corp.com,China,2023-04-29
C0006,Customer_6,customer_6@logistics.com,USA,2023-07-04
C0007,Customer_7,customer_7@logistics.com,UK,2022-10-24
C0008,Customer_8,customer_8@supplyco.com,Germany,2023-10-14
C0009,Customer_9,customer_9@logistics.com,Italy,2023-07-22
C0010,Customer_10,customer_10@supplyco.com,Italy,2024-10-23
C0011,Customer_11,customer_11@corp.com,Turkey,2024-12-16
C0012,Customer_12,customer_12@example.com,USA,2024-04-16
C0013,Customer_13,customer_13@logistics.com,UK,2024-02-10
C0014,Customer_14,customer_14@logistics.com,UK,2023-11-12
C0015,Customer_15,customer_15@supplyco.com,France,2023-08-12
C0016,Customer_16,customer_16@corp.com,Egypt,2024-09-09
C0017,Customer_17,customer_17@logistics.com,Italy,2024-09-29
C0018,Customer_18,customer_18@example.com,India,2022-11-20
C0019,Customer_19,customer_19@supplyco.com,Germany,2022-09-04
C0020,Customer_20,customer_20@logistics.com,Italy,2023-11-22
C0021,Customer_21,customer_21@supplyco.com,France,2023-10-01
C0022,Customer_22,customer_22@corp.com,UK,2023-07-02
C0023,Customer_23,customer_23@supplyco.com,Egypt,2022-08-01
C0024,Customer_24,customer_24@corp.com,China,2024-12-23
C0025,Customer_25,customer_25@corp.com,Italy,2024-05-13
C0026,Customer_26,customer_26@example.com,India,2024-09-05
C0027,Customer_27,customer_27@logistics.com,Germany,2022-10-16
C0028,Customer_28,customer_28@logistics.com,Vietnam,2022-11-25
C0029,Customer_29,customer_29@supplyco.com,India,2023-10-13
C0030,Customer_30,customer_30@example.com,Italy,2024-10-24
C0031,Customer_31,customer_31@example.com,Turkey,2024-03-02
C0032,Customer_32,customer_32@example.com,Vietnam,2022-08-22
C0033,Customer_33,customer_33@example.com,Italy,2022-07-20
C0034,Customer_34,customer_34@supplyco.com,Turkey,2023-10-16
